Locality,Municipality,Population(December 31th, 2017),Land area(hectare),Population density(inv./km²),Locality code,Latitude,Longitude
Dyvelsten,Forshaga kommun,243,46,528,5634
Dösjebro,Kävlinge kommun,918,68,1 350,3388
Ed,Dals-Eds kommun,3 019,350,863,4796
Eda Glasbruk,Eda kommun,227,90,252,5636
Edane,Arvika kommun,671,174,386,5640
Edsbro,Norrtälje kommun,573,151,379,0144
Edsbruk,Västerviks kommun,359,70,513,2156
Edsbyn,Ovanåkers kommun,4 245,528,804,7044
Edsgatan och Långenäs,Karlstads kommun,389,105,370,5648
Edsta,Hudiksvalls kommun,215,73,295,7128
Edsvalla,Karlstads kommun,732,81,904,5652
Edsvalla Övre bruket,Karlstads kommun,247,33,748,5654
Eggby,Skara kommun,228,48,475,5216
Ekeby,Bjuvs kommun,3 347,384,872,3392
Ekeby,Kumla kommun,461,99,466,5920
Ekeby,Södertälje kommun,970,66,1 470,0148
Ekeby-Almby,Örebro kommun,1 849,200,925,5924
Ekedalen,Tidaholms kommun,476,72,661,5220
Ekenässjön,Vetlanda kommun,1 551,214,725,1456
Ekerö,Ekerö kommun,11 524,596,1 934,0150
Ekerö sommarstad,Ekerö kommun,598,94,636,0151
Eket,Örkelljunga kommun,399,109,366,2856
Ekshärad,Hagfors kommun,978,158,619,5724
Eksjö,Eksjö kommun,10 385,807,1 287,1460
Ekskogen,Vallentuna kommun,291,60,485,0146
"Ekskogen, Älgeby och Långsjötorp",Vallentuna kommun,343,215,160,0142
Eksund,Norrköpings kommun,501,73,686,1046
Ekängen,Linköpings kommun,2 696,186,1 449,1050
Eldsberga,Halmstads kommun,697,90,774,3916
Ellös,Orust kommun,1 020,221,462,4336
Emmaboda,Emmaboda kommun,4 978,587,848,2160
Emmaljunga,Hässleholms kommun,297,92,323,2860
Emsfors,Oskarshamns kommun,313,70,447,2164
Emtunga,Vara kommun,317,40,793,5224
Enbacka,Säters kommun,1 945,288,675,6492
Eneryda,Älmhults kommun,336,64,525,1840
Enhagen-Ekbacken,Västerås kommun,1 087,76,1 430,6210
Enköping,Enköpings kommun,23 271,1 050,2 216,0532
Enstaberga,Nyköpings kommun,445,58,767,0736
Enviken,Falu kommun,870,325,268,6496
Enånger,Hudiksvalls kommun,637,163,391,7048
Eriksmåla,Emmaboda kommun,216,93,232,2168
Eringsboda,Ronneby kommun,293,78,376,2616
Ersmark,Skellefteå kommun,865,130,665,8172
Ersmark,Umeå kommun,1 649,149,1 107,8368
Ersnäs,Luleå kommun,494,133,371,8576
Eskilsby och Snugga,Härryda kommun,254,87,292,4334
Eskilstuna,Eskilstuna kommun,69 005,2 980,2 316,0740
Eslöv,Eslövs kommun,19 316,947,2 040,3396
Evertsberg,Älvdalens kommun,244,137,178,6500
Everöd,Kristianstads kommun,914,154,594,2864
Fagerhult,Habo kommun,319,78,409,5228
Fagerhult,Högsby kommun,241,86,280,2172
Fagerhult,Uddevalla kommun,496,126,394,4338
Fagersanna,Tibro kommun,676,201,336,5232
Fagersta,Fagersta kommun,12 025,860,1 398,6212
Fagerås,Kils kommun,423,72,588,5656
Falerum,Åtvidabergs kommun,230,79,291,1048
Falkenberg,Falkenbergs kommun,24 480,1 809,1 353,3920
Falköping,Falköpings kommun,17 675,890,1 986,5236
Falla,Finspångs kommun,450,65,692,1052
Falun,Falu kommun,38 039,2 516,1 512,6504
Fanbyn,Sundsvalls kommun,606,201,301,7462
Farhult,Höganäs kommun,318,95,335,2866
Fegen,Falkenbergs kommun,246,70,351,3924
Fellingsbro,Lindesbergs kommun,1 436,215,668,5928
Fengersfors,Åmåls kommun,337,78,432,4800
Figeholm,Oskarshamns kommun,837,107,782,2176
Filipstad,Filipstads kommun,6 334,592,1 070,5660
Filsbäck,Lidköpings kommun,667,107,623,5240
Finja,Hässleholms kommun,633,137,462,2868
Finkarby,Nykvarns kommun,202,57,354,0158
Finnerödja,Laxå kommun,595,112,531,5932
Finspång,Finspångs kommun,13 124,798,1 645,1056
Finsta,Norrtälje kommun,269,44,611,0164
Fiskebäckskil,Lysekils kommun,252,72,350,4340
Fisksätra,Nacka kommun,8 255,97,8 510,0156
Fjugesta,Lekebergs kommun,2 165,210,1 031,5936
Fjälkinge,Kristianstads kommun,1 892,186,1 017,2872
Fjällbacka,Tanums kommun,870,167,521,4344
Fjärdhundra,Enköpings kommun,919,112,821,0536
Fjärås kyrkby,Kungsbacka kommun,2 453,205,1 197,3928
Fjärås station,Kungsbacka kommun,216,67,322,3930
Flen,Flens kommun,6 829,467,1 462,0744
Fleninge,Helsingborgs kommun,210,52,404,2870
Flerohopp,Nybro kommun,217,51,425,2184
Fliseryd,Mönsterås kommun,733,138,531,2188
Floby,Falköpings kommun,1 610,225,716,5244
Dala-Floda,Gagnefs kommun,687,234,294,6460
Flurkmark,Umeå kommun,215,45,478,8174
Flygsfors,Nybro kommun,229,63,363,2192
Flyinge,Eslövs kommun,1 007,89,1 131,3400
Flädie,Lomma kommun,255,39,654,3402
Folkärna,Avesta kommun,280,148,189,6462
Fornåsa,Motala kommun,456,57,800,1060
Fors,Avesta kommun,773,144,537,6508
Forsbacka,Gävle kommun,1 767,188,940,7052
Forserum,Nässjö kommun,2 087,195,1 070,1468
Forshaga,Forshaga kommun,6 457,555,1 163,5664
Forsheda,Värnamo kommun,1 495,170,879,1472
Forssjö,Katrineholms kommun,510,75,680,0748
Forsvik,Karlsborgs kommun,335,83,404,5248
Fotö,Öckerö kommun,653,43,1 519,4348
Fredriksberg västra,Ludvika kommun,336,75,448,6512
Fredriksberg östra,Ludvika kommun,292,66,442,6514
Fredriksdal,Nässjö kommun,309,62,498,1476
Fredriksfors,Hudiksvalls kommun,225,87,259,7054
Freluga,Bollnäs kommun,201,62,324,7058
Fridlevstad,Karlskrona kommun,696,110,633,2620
Friggesund,Hudiksvalls kommun,548,78,703,7056
Frillesås,Kungsbacka kommun,3 092,474,652,3932
Frinnaryd,Aneby kommun,240,56,429,1480
Fristad,Borås kommun,5 502,731,753,4808
Fritsla,Marks kommun,2 456,318,772,4812
Främmestad,Essunga kommun,393,69,570,5250
Frändefors,Vänersborgs kommun,649,97,669,4820
